run_id,commit_hash,date,build_label,test_name,metric_id,status,min_ram_mb,max_ram_mb,avg_ram_mb,run_count,all_runs
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_collectibles_tab_first_open_loading_time[fresh_user],test_wallet_collectibles_tab_first_open_ram_fresh,passed,712.568359375,712.568359375,712.568359375,1,712.568359375
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_collectibles_tab_loading_time[fresh_user],test_wallet_collectibles_tab_ram_fresh,passed,695.296875,773.73046875,728.42578125,5,"712.83203125,695.296875,729.453125,730.81640625,773.73046875"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_receive_first_open_loading_time[fresh_user],test_wallet_receive_first_open_ram_fresh,passed,683.38671875,683.38671875,683.38671875,1,683.38671875
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_receive_loading_time[fresh_user],test_wallet_receive_ram_fresh,passed,684.2265625,736.25,710.22890625,5,"684.2265625,736.25,698.458984375,709.646484375,722.5625"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_account_open_loading_time[fresh_user],test_wallet_account_first_open_ram_fresh,passed,742.859375,742.859375,742.859375,1,742.859375
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_first_open_loading_time[wallet_load_user],test_wallet_first_open_ram_wallet_load,passed,790.5703125,790.5703125,790.5703125,1,790.5703125
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_activity_tab_first_open_loading_time[fresh_user],test_wallet_activity_tab_first_open_ram_fresh,passed,764.1953125,764.1953125,764.1953125,1,764.1953125
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_activity_tab_loading_time[fresh_user],test_wallet_activity_tab_ram_fresh,passed,811.6653645833334,869.84765625,829.1694010416668,5,"869.84765625,811.6653645833334,815.087890625,821.849609375,827.396484375"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_activity_tab_first_open_loading_time[wallet_load_user],test_wallet_activity_tab_first_open_ram_wallet_load,passed,765.4661458333334,765.4661458333334,765.4661458333334,1,765.4661458333334
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_activity_tab_loading_time[wallet_load_user],test_wallet_activity_tab_ram_wallet_load,passed,743.01953125,761.3548177083334,751.2005208333333,5,"743.7408854166666,743.01953125,749.7955729166666,758.091796875,761.3548177083334"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_assets_tab_first_open_loading_time[wallet_load_user],test_wallet_assets_tab_first_open_ram_wallet_load,passed,707.48046875,707.48046875,707.48046875,1,707.48046875
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_assets_tab_loading_time[wallet_load_user],test_wallet_assets_tab_ram_wallet_load,passed,705.6770833333334,716.7213541666666,711.4942336309524,5,"714.9361979166666,716.7213541666666,712.4347098214286,705.6770833333334,707.7018229166666"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_swap_first_open_loading_time[wallet_load_user],test_wallet_swap_first_open_ram_wallet_load,passed,802.767578125,802.767578125,802.767578125,1,802.767578125
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_swap_loading_time[wallet_load_user],test_wallet_swap_ram_wallet_load,passed,787.28515625,799.609375,794.4953125,5,"787.28515625,799.609375,798.8984375,793.162109375,793.521484375"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_collectibles_tab_first_open_loading_time[wallet_load_user],test_wallet_collectibles_tab_first_open_ram_wallet_load,passed,747.001953125,747.001953125,747.001953125,1,747.001953125
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_collectibles_tab_loading_time[wallet_load_user],test_wallet_collectibles_tab_ram_wallet_load,passed,704.220703125,729.68359375,718.631640625,5,"708.6953125,726.37890625,724.1796875,704.220703125,729.68359375"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_repeat_open_loading_time[fresh_user],test_wallet_repeat_open_ram_fresh,passed,752.6302083333334,818.6276041666666,767.1229166666666,5,"753.16796875,756.8111979166666,754.3776041666666,752.6302083333334,818.6276041666666"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_assets_tab_first_open_loading_time[wallet_load_alex_user],test_wallet_assets_tab_first_open_ram_wallet_load_alex,passed,807.421875,807.421875,807.421875,1,807.421875
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_assets_tab_loading_time[wallet_load_alex_user],test_wallet_assets_tab_ram_wallet_load_alex,passed,777.43359375,814.48046875,789.6508556547619,5,"814.48046875,785.3203125,777.43359375,791.8532366071429,779.1666666666666"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_status_community_first_open_loading_time[user_data0-user_account0],test_status_community_first_open_ram_member,passed,692.77734375,692.77734375,692.77734375,1,692.77734375
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_add_account_first_open_loading_time[wallet_load_user],test_wallet_add_account_first_open_ram_wallet_load,passed,781.0260416666666,781.0260416666666,781.0260416666666,1,781.0260416666666
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_add_account_loading_time[wallet_load_user],test_wallet_add_account_ram_wallet_load,passed,736.05078125,742.7734375,739.70390625,5,"736.93359375,741.875,736.05078125,740.88671875,742.7734375"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_add_account_first_open_loading_time[fresh_user],test_wallet_add_account_first_open_ram_fresh,passed,763.73046875,763.73046875,763.73046875,1,763.73046875
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_add_account_loading_time[fresh_user],test_wallet_add_account_ram_fresh,passed,762.625,776.76171875,770.3046875,5,"775.36328125,765.208984375,771.564453125,776.76171875,762.625"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_first_open_loading_time[fresh_user],test_wallet_first_open_ram_fresh,passed,706.41796875,706.41796875,706.41796875,1,706.41796875
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_repeat_open_loading_time[wallet_load_user],test_wallet_repeat_open_ram_wallet_load,passed,757.880859375,887.4192708333334,840.344921875,5,"757.880859375,819.72265625,858.8815104166666,877.8203125,887.4192708333334"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_receive_first_open_loading_time[wallet_load_user],test_wallet_receive_first_open_ram_wallet_load,passed,702.970703125,702.970703125,702.970703125,1,702.970703125
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_receive_loading_time[wallet_load_user],test_wallet_receive_ram_wallet_load,passed,690.658203125,701.720703125,694.024609375,5,"701.720703125,692.9453125,690.658203125,691.365234375,693.43359375"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_first_open_loading_time[wallet_load_alex_user],test_wallet_first_open_ram_wallet_load_alex,passed,824.43359375,824.43359375,824.43359375,1,824.43359375
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_send_first_open_loading_time[fresh_user],test_wallet_send_first_open_ram_fresh,passed,731.9713541666666,731.9713541666666,731.9713541666666,1,731.9713541666666
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_send_loading_time[fresh_user],test_wallet_send_ram_fresh,passed,767.09375,800.111328125,774.38046875,5,"767.09375,767.146484375,768.716796875,800.111328125,768.833984375"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_send_first_open_loading_time[wallet_load_alex_user],test_wallet_send_first_open_ram_wallet_load_alex,passed,801.29296875,801.29296875,801.29296875,1,801.29296875
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_send_loading_time[wallet_load_alex_user],test_wallet_send_ram_wallet_load_alex,passed,765.54296875,783.65625,773.14609375,5,"777.048828125,767.009765625,765.54296875,772.47265625,783.65625"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_repeat_open_loading_time[wallet_load_alex_user],test_wallet_repeat_open_ram_wallet_load_alex,passed,805.4700520833334,890.25,863.0552083333334,5,"805.4700520833334,859.8385416666666,887.3098958333334,872.4075520833334,890.25"
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_collectibles_tab_first_open_loading_time[wallet_load_alex_user],test_wallet_collectibles_tab_first_open_ram_wallet_load_alex,passed,767.369140625,767.369140625,767.369140625,1,767.369140625
pr-21975-7ea77e-15,7ea77e,2026-08-18T13:16:25,PR 21975,test_wallet_collectibles_tab_loading_time[wallet_load_alex_user],test_wallet_collectibles_tab_ram_wallet_load_alex,passed,762.27734375,782.9765625,771.35703125,5,"782.9765625,768.03125,768.8984375,762.27734375,774.6015625"
